image_path,target
Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00174.png,29.0
Chars74kDataset/Img\BadImag\Bmp\Sample042\img042-00008.png,41.0
Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00288.png,18.0
Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00082.png,47.0
Chars74kDataset/Img\GoodImg\Bmp\Sample029\img029-00114.png,28.0
Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00541.png,10.0
Chars74kDataset/Img\GoodImg\Bmp\Sample008\img008-00039.png,7.0
Chars74kDataset/Img\BadImag\Bmp\Sample054\img054-00091.png,53.0
Chars74kDataset/Img\GoodImg\Bmp\Sample026\img026-00103.png,25.0
Chars74kDataset/Img\BadImag\Bmp\Sample013\img013-00097.png,12.0
Chars74kDataset/Img\GoodImg\Bmp\Sample056\img056-00072.png,55.0
Chars74kDataset/Img\GoodImg\Bmp\Sample053\img053-00040.png,52.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00405.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample051\img051-00145.png,50.0
Chars74kDataset/Img\BadImag\Bmp\Sample006\img006-00003.png,5.0
Chars74kDataset/Img\GoodImg\Bmp\Sample039\img039-00028.png,38.0
Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00306.png,23.0
Chars74kDataset/Img\GoodImg\Bmp\Sample015\img015-00007.png,14.0
Chars74kDataset/Img\GoodImg\Bmp\Sample031\img031-00035.png,30.0
Chars74kDataset/Img\BadImag\Bmp\Sample031\img031-00064.png,30.0
Chars74kDataset/Img\GoodImg\Bmp\Sample020\img020-00010.png,19.0
Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00311.png,29.0
Chars74kDataset/Img\BadImag\Bmp\Sample048\img048-00011.png,47.0
Chars74kDataset/Img\GoodImg\Bmp\Sample032\img032-00076.png,31.0
Chars74kDataset/Img\GoodImg\Bmp\Sample021\img021-00075.png,20.0
Chars74kDataset/Img\BadImag\Bmp\Sample012\img012-00046.png,11.0
Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00018.png,36.0
Chars74kDataset/Img\GoodImg\Bmp\Sample050\img050-00096.png,49.0
Chars74kDataset/Img\GoodImg\Bmp\Sample061\img061-00041.png,60.0
Chars74kDataset/Img\GoodImg\Bmp\Sample013\img013-00196.png,12.0
Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00083.png,16.0
Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00058.png,27.0
