,ImageName,city,year
241,242_original.jpg,birmingham,1912
360,N17_17_original.jpg,london,1949
249,250_original.jpg,birmingham,1899
186,187_original.jpg,sheffield,1926
460,N26_26_original.jpg,london,1801
413,N217_217_original.jpg,birmingham,1936
16,17_original.jpg,london,1978
549,N79_79_original.jpg,sheffield,1904
187,188_original.jpg,sheffield,1828
440,N241_241_original.jpg,birmingham,1896
450,N250_250_original.jpg,london,1797
102,103_original.jpg,london,1985
244,245_original.jpg,sheffield,1915
423,N226_226_original.jpg,chester,1894
146,147_original.jpg,london,1926
421,N224_224_original.jpg,sheffield,1896
172,173_original.jpg,birmingham,1918
128,129_original.jpg,birmingham,1921
328,N140_140_original.jpg,london,1905
439,N240_240_original.jpg,sheffield,1919
110,111_original.jpg,london,1825
394,N20_20_original.jpg,birmingham,1937
376,N184_184_original.jpg,london,1799
396,N201_201_original.jpg,sheffield,1893
495,N3_3_original.jpg,sheffield,1828
493,N29_29_original.jpg,sheffield,1936
142,143_original.jpg,london,1902
410,N214_214_original.jpg,london,1847
6,7_original.jpg,chester,1903
324,N137_137_original.jpg,london,1921
11,12_original.jpg,london,1985
295,N110_110_original.jpg,sheffield,1920
213,214_original.jpg,london,1836
561,N9_9_original.jpg,sheffield,1887
58,59_original.jpg,birmingham,2020
481,N279_279_original.jpg,london,1794
532,N63_63_original.jpg,london,1897
427,N23_23_original.jpg,london,1808
197,198_original.jpg,sheffield,1957
245,246_original.jpg,london,1975
424,N227_227_original.jpg,sheffield,1903
101,102_original.jpg,dublin,1976
214,215_original.jpg,london,1989
104,105_original.jpg,sheffield,1961
201,202_original.jpg,london,1939
379,N187_187_original.jpg,sheffield,1898
326,N139_139_original.jpg,birmingham,1909
18,19_original.jpg,sheffield,1978
168,169_original.jpg,birmingham,1908
462,N261_261_original.jpg,london,1828
121,122_original.jpg,chester,1913
207,208_original.jpg,london,1901
407,N211_211_original.jpg,london,1790
373,N181_181_original.jpg,london,1844
363,N172_172_original.jpg,birmingham,1928
569,N97_97_original.jpg,london,1901
258,259_original.jpg,london,1899
80,81_original.jpg,chester,1921
46,47_original.jpg,birmingham,1912
221,222_original.jpg,london,1849
233,234_original.jpg,london,1823
93,94_original.jpg,london,1823
484,N281_281_original.jpg,exeter,1801
