,image_path,target
6923,Chars74kDataset/Img\BadImag\Bmp\Sample051\img051-00047.png,14.0
4516,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00303.png,0.0
8498,Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00166.png,4.0
7036,Chars74kDataset/Img\BadImag\Bmp\Sample037\img037-00034.png,0.0
5664,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00437.png,0.0
5446,Chars74kDataset/Img\BadImag\Bmp\Sample045\img045-00048.png,8.0
5532,Chars74kDataset/Img\GoodImg\Bmp\Sample028\img028-00318.png,17.0
4921,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00453.png,0.0
7600,Chars74kDataset/Img\BadImag\Bmp\Sample016\img016-00057.png,5.0
9933,Chars74kDataset/Img\GoodImg\Bmp\Sample022\img022-00072.png,11.0
8543,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00086.png,19.0
10430,Chars74kDataset/Img\BadImag\Bmp\Sample015\img015-00104.png,4.0
12358,Chars74kDataset/Img\GoodImg\Bmp\Sample030\img030-00173.png,19.0
9395,Chars74kDataset/Img\GoodImg\Bmp\Sample024\img024-00150.png,13.0
2885,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00031.png,0.0
11176,Chars74kDataset/Img\GoodImg\Bmp\Sample060\img060-00011.png,23.0
1974,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00049.png,0.0
8575,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00493.png,0.0
5988,Chars74kDataset/Img\GoodImg\Bmp\Sample039\img039-00057.png,2.0
9684,Chars74kDataset/Img\GoodImg\Bmp\Sample017\img017-00051.png,6.0
2648,Chars74kDataset/Img\GoodImg\Bmp\Sample040\img040-00012.png,3.0
10520,Chars74kDataset/Img\BadImag\Bmp\Sample011\img011-00120.png,0.0
6806,Chars74kDataset/Img\BadImag\Bmp\Sample041\img041-00124.png,4.0
2247,Chars74kDataset/Img\BadImag\Bmp\Sample026\img026-00060.png,15.0
11426,Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00082.png,13.0
2030,Chars74kDataset/Img\GoodImg\Bmp\Sample025\img025-00032.png,14.0
1374,Chars74kDataset/Img\BadImag\Bmp\Sample030\img030-00159.png,19.0
10438,Chars74kDataset/Img\BadImag\Bmp\Sample028\img028-00010.png,17.0
2038,Chars74kDataset/Img\GoodImg\Bmp\Sample041\img041-00173.png,4.0
3801,Chars74kDataset/Img\BadImag\Bmp\Sample026\img026-00080.png,15.0
5544,Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00164.png,13.0
10193,Chars74kDataset/Img\BadImag\Bmp\Sample024\img024-00146.png,13.0
4865,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00064.png,0.0
2546,Chars74kDataset/Img\BadImag\Bmp\Sample044\img044-00008.png,7.0
7389,Chars74kDataset/Img\GoodImg\Bmp\Sample019\img019-00213.png,8.0
1412,Chars74kDataset/Img\GoodImg\Bmp\Sample045\img045-00085.png,8.0
10471,Chars74kDataset/Img\GoodImg\Bmp\Sample055\img055-00103.png,18.0
111,Chars74kDataset/Img\GoodImg\Bmp\Sample011\img011-00512.png,0.0
443,Chars74kDataset/Img\BadImag\Bmp\Sample019\img019-00025.png,8.0
2958,Chars74kDataset/Img\BadImag\Bmp\Sample050\img050-00035.png,13.0
4611,Chars74kDataset/Img\BadImag\Bmp\Sample040\img040-00059.png,3.0
